No,Filename,Width,Height,AspectRatio,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,building_sizes.png,1785,1034,1.73,166.1,Wide landscape,812x470,328x600
2,cnn1d_training_curves.png,1785,595,3.00,100.3,Ultra-wide,1160x387,1160x193
3,combustible_heatmap.png,1914,1264,1.51,128.6,Wide landscape,812x536,328x600
4,confusion_matrices_all.png,2384,1618,1.47,155.9,Standard landscape,812x551,328x600
5,damage_distribution_Aerospace_Facilities_Airport_Hangar.png,2384,1771,1.35,123.2,Standard landscape,808x600,332x600
6,damage_distribution_Machinery_Manufacturing.png,2384,1771,1.35,90.5,Standard landscape,808x600,332x600
7,damage_distribution_Metallurgical_Facilities.png,2384,1771,1.35,103.1,Standard landscape,808x600,332x600
8,damage_distribution_by_facility.png,2384,1770,1.35,181.1,Standard landscape,808x600,332x600
9,mlp_training_curves.png,1785,595,3.00,89.5,Ultra-wide,1160x387,1160x193
10,training_curves_all.png,2084,1477,1.41,223.6,Standard landscape,847x600,293x600
